category,sub_category,category_code,category_description,material_code,material_description
FF,FF TOP MOUNT,20004698,NEO 305GD PRM EMERALD(2S),22196,NEO 305GD PRM EMERALD(2S)-TL
FF,FF 3 DOOR,20004802,PRONXT DF285 3D PRM ARTEM,22354,PRONXT DF285 3D PRM ARTEMIS STEEL(2S)-Y
FF,FF 3 DOOR,20004801,PRONXT DF285 3D PRM ATHEN,22353,PRONXT DF285 3D PRM ATHENA STEEL(2S)-Y
FF,FF 3 DOOR,20004699,FP 263D PRTN ROY ARTEMIS,22197,FP 263D PROTTON ROY ARTEMIS STEEL(N)
FF,FF 3 DOOR,20004813,PRONXT DF300 3D ROY PEARL,22366,PRONXT DF300 3D ROY PEARL BLACK(2S)-Y
FF,FF 3 DOOR,20004812,PRONXT DF300 3D ROY ARTEM,22365,PRONXT DF300 3D ROY ARTEMIS STEEL(2S)-Y
FF,FF 3 DOOR,20004811,PRONXT DF300 3D ROY ATHEN,22364,PRONXT DF300 3D ROY ATHENA STEEL(2S)-Y
FF,FF 3 DOOR,20004700,FP 283D PRTN ROY ARTEMIS,22198,FP 283D PROTTON ROY ARTEMIS STEEL(N)
FF,FF TOP MOUNT,20004701,NEO DF278 PRM MIDNGT ATHE,22199,NEO DF278 PRM MIDNIGHT ATHENA(2S)-TL
FF,FF TOP MOUNT,20004706,IF 278 ARTEMIS STL(2S) CO,22204,IF 278 ARTEMIS STEEL(2S) CONV-TL
FF,FF TOP MOUNT,20004707,IF 278 WINE PEONY(2S) CON,22205,IF 278 WINE PEONY(2S) CONV-TL
FF,FF TOP MOUNT,20004707,IF 278 WINE PEONY(2S) CON,22206,IF 278 SAPPHIRE PEONY(2S) CONV-TL
FF,FF TOP MOUNT,20004877,IF INV CNV 455 STL ONYX(1,22432,IF INV CNV 455 STEEL ONYX(1S)-Y
FF,FF TOP MOUNT,20004876,IF INV CNV 455 ILUSA STL(,22431,IF INV CNV 455 ILLUSIA STEEL(1S)-Y
FF,FF TOP MOUNT,20004709,IF INV CNV 455 STL ONYX(1,22207,IF INV CNV 455 STEEL ONYX(1s)-Z
